SquareFootage,NumBathrooms,NumBedrooms,RenovationQuality,DistanceToCityCenter,AgeOfHome,Price
1450.16,1.69414352,4,9.07,21.94,56.67,655183.3652
709.99,2.171777158,4,5.3,21.73,8.96,312456.8833
550.0,3.060359665,2,3.51,16.36,70.55,139812.5241
755.33,1.410790541,3,2.23,25.81,118.89,105444.823
860.54,2.367229102,3,4.7,21.53,123.1,258308.4169
550.0,1.0,3,1.27,18.78,1.6,105922.2442
1380.39,4.50748613,3,9.06,14.62,36.41,335335.0951
630.08,1.130709619,4,6.74,32.31,70.04,169087.4955
1394.28,1.0,4,5.05,11.89,50.15,215313.2562
800.7,1.207504366,2,3.31,2.93,16.69,165657.3604
1178.17,1.420791698,3,8.05,17.08,40.0,372767.7884
550.0,2.934273883,4,4.28,9.55,90.78,409837.8844
715.82,1.414232015,3,4.07,7.36,90.69,104023.8176
550.0,2.556681359,3,1.04,40.92,140.48,181185.637
1984.35,3.240217644,4,4.08,1.45,19.22,540757.4699
951.57,2.919625701,4,4.87,16.57,49.48,586566.5032
1628.7,1.0,4,2.94,22.81,63.67,250913.9224
1469.8,3.000279792,2,9.02,23.8,25.07,292366.4056
1077.07,1.815033667,4,5.03,34.3,118.62,223631.1761
975.64,1.0,4,3.98,20.41,92.24,150525.8601
554.35,1.076686559,3,4.28,8.17,80.3,144202.7392
1974.31,1.486558031,2,6.45,0.73,7.79,329886.498
972.44,1.151764321,3,4.36,35.95,38.06,239822.1002
1494.94,1.235246366,2,2.76,1.89,92.86,158634.0109
1878.22,4.754927429,5,8.48,9.44,62.37,726744.0329
1920.59,3.715051657,4,7.29,9.54,47.96,473795.637
550.0,1.977646983,2,4.78,10.95,26.72,115547.1564
868.62,1.5528157,3,6.04,7.67,24.76,155116.99
1912.38,2.564632298,4,6.25,14.38,27.11,398669.8832
1397.88,1.0,2,6.67,19.81,123.89,323996.8858
943.97,1.077233807,3,3.93,21.96,9.26,362671.8785
925.34,1.018620531,2,5.03,15.1,24.8,166673.7965
1375.64,3.448992125,3,7.37,28.17,72.34,584060.7653
1465.72,1.344945866,3,9.01,15.79,9.88,348780.2029
1722.21,1.039936909,3,6.82,8.57,24.29,247083.9187
1300.82,2.607157512,3,5.2,38.5,2.06,484933.0256
1056.76,2.795920545,4,5.34,12.66,50.78,463283.0445
1267.22,2.18782113,4,3.02,23.57,62.61,300052.9435
550.0,1.0,3,3.4,5.42,55.17,168172.0172
550.0,1.380551244,4,4.02,33.0,99.91,162064.0187
2013.34,1.641978505,2,2.59,37.07,101.36,232294.7133
1714.11,1.895955694,5,7.45,18.4,4.5,562999.5872
1304.8,1.792917833,3,5.46,25.51,64.85,419409.281
799.4,1.624150563,3,2.7,23.08,81.22,269419.3537
917.29,1.0,2,6.09,12.41,71.93,270755.4029
651.31,2.397083736,3,6.07,31.27,12.85,336337.8924
550.0,3.457376121,2,5.26,23.66,26.32,161126.4561
901.82,2.308496355,4,7.51,4.34,105.35,408287.9462
550.0,1.0,3,4.67,13.91,15.94,183397.9195
1540.65,3.241657318,2,7.58,7.93,30.64,376348.1229
1686.78,2.879916051,3,4.88,10.52,99.59,533515.2737
706.05,1.741892006,3,5.71,21.7,37.36,179611.3894
2132.54,3.325386983,4,7.42,6.67,42.29,856276.5702
550.0,2.292861002,3,3.78,35.16,37.01,269943.1539
590.02,2.259278585,3,3.41,17.97,75.04,209231.3155
1166.46,2.392691233,3,6.69,10.85,47.6,358034.3549
1481.17,2.385616904,3,7.69,17.45,9.44,649669.2624
1407.32,4.69155598,4,9.37,17.28,8.08,362651.1463
798.52,2.007352347,2,4.2,2.67,77.18,257115.8606
1396.01,2.963864091,5,7.2,8.35,57.78,544722.7857
1004.32,1.224511224,4,3.27,2.72,16.48,439796.0716
550.0,1.618054583,1,0.34,18.35,51.13,168251.1936
1196.5,2.370407262,2,5.61,1.9,33.85,227861.6369
550.0,3.609525564,3,4.47,19.18,49.7,315163.4511
723.29,3.357200029,3,8.64,18.55,9.74,431107.0448
